,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
35,36,Спортивный комплекс «Чертаново» на ул. Кировоградская,Южный административный округ,район Чертаново Северное,"Кировоградская улица, дом 10А",(495) 312-11-54,55.626410324,37.606895259,зал тренажерный №3,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
36,37,Спортивный комплекс «Одиссей»,Восточный административный округ,район Ивановское,"улица Молостовых, дом 10Д",(495) 681-01-48,55.759014315,37.828438983,зал тренажерный,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,09:00-21:00,09:00-21:00,train_gym
37,38,Бассейн плавательный «ЦСиО «Самбо-70» отделение «Юность»,Юго-Западный административный округ,район Тёплый Стан,"улица Академика Бакулева, дом 5",(495) 438-89-55,55.640719789,37.483847878,зал тренажерный,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-15:00,закрыто,train_gym
38,39,Ледовый дворец спорта «Центральный»,Центральный административный округ,Таганский район,"улица Талалихина, дом 28, строение 4",(495) 374-63-04,55.730434519,37.678877141,зал тренажерный,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-22:00,09:00-20:00,09:00-20:00,train_gym
39,40,Спортивный комплекс «Парус»,Юго-Восточный административный округ,район Выхино-Жулебино,"Привольная улица, дом 42",(495) 681-01-48,55.692054188,37.849762898,зал тренажерный,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,train_gym
40,41,Физкультурно-оздоровительный комплекс Московской волейбольной академии на ул. Алабяна,Северный административный округ,район Сокол,"улица Алабяна, дом 13, корпус 1",(499) 195-99-95,55.799882691,37.505969464,зал тренажерный №1,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,train_gym
41,42,Ледовый центр «Платинум»,Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 2045",(495) 681-01-48,55.971029045,37.16853522,зал тренажерный,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,train_gym
42,43,Дворец спорта «Янтарь»,Северо-Западный административный округ,район Строгино,"улица Маршала Катукова, дом 22",(499) 252-98-08,55.804196697,37.411269673,зал тренажерный,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,06:30-23:00,train_gym
43,44,Дворец спорта «Москвич»,Юго-Восточный административный округ,район Текстильщики,"Люблинская улица, дом 15/46, строение 7",(499) 179-31-23,55.706603107,37.731866878,зал тренажерный,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,train_gym
44,45,"Спортивный комплекс «Братеево», к. 3А",Южный административный округ,район Братеево,"улица Борисовские Пруды, дом 20, корпус 3А",(495) 681-01-48,55.637313015,37.754648922,зал тренажерный,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,train_gym
45,46,Спортивный комплекс образовательного учреждения «Центр спорта и образования Самбо-70»,Юго-Западный административный округ,район Тёплый Стан,"улица Академика Виноградова, дом 4Б",(495) 339-69-44,55.63095587,37.486766847,"зал тренажерный №2, «Тренажёрная пристройки»",08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,train_gym
46,47,Физкультурно-оздоровительный комплекс МССУОР № 3,Восточный административный округ,район Соколиная Гора,"Ткацкая улица, дом 24",(499) 166-95-34,55.78608,37.731263,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
47,48,Досуговый центр «Южное Измайлово»,Восточный административный округ,район Ивановское,"улица Чечулина, дом 10",(499) 308-51-01,55.779451754,37.825766095,зал тренажерный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,train_gym
48,49,Спортивный комплекс «Динамо»,Северный административный округ,Войковский район,"Ленинградское шоссе, дом 39, строение 53",(495) 981-60-72,55.837078096,37.479160303,зал тренажерный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
49,50,Досуговый центр «Гармония»,Северный административный округ,Савёловский район,"Старый Петровско-Разумовский проезд, дом 5-13",(495) 611-56-90,55.799787816,37.559953537,зал тренажерный,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,15:00-22:00,закрыто,train_gym
50,51,Фитнес-клуб «Ленин»,Северный административный округ,Головинский район,"Ленинградское шоссе, дом 47",(980) 697-66-87,55.845297857,37.47580833,зал тренажерный №1,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
51,52,Спортивный комплекс «На Таганке»,Центральный административный округ,Таганский район,"Рабочая улица, дом 30, строение 3",(495) 681-01-48,55.742295582,37.684588613,зал тренажерный,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,09:00-21:00,09:00-21:00,train_gym
52,53,Дворец спорта «Динамо»,Северный административный округ,район Ховрино,"улица Лавочкина, дом 32",(495) 454-50-57,55.855611358,37.494879129,"зал тренажерный №2, «Фитнес-клуба «Сити фитнес»",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,train_gym
53,54,Дворец спорта «Динамо»,Северный административный округ,район Ховрино,"улица Лавочкина, дом 32",(495) 454-50-57,55.855553022,37.496284365,зал тренажерный №1,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,train_gym
54,55,Центр спорта и досуга «Атлант» Литовский,Юго-Западный административный округ,район Ясенево,"Литовский бульвар, дом 11, корпус 2",(495) 425-02-11,55.613551452,37.54176051,зал тренажерный,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,train_gym
55,56,Фитнес-клуб «Рибок КроссФит 495»,Северный административный округ,Хорошёвский район,"проезд Берёзовой Рощи, дом 12",(495) 950-22-86,55.791170577,37.520062313,зал тренажерный №2,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,train_gym
56,57,Фитнес-клуб «Рибок КроссФит 495»,Северный административный округ,Хорошёвский район,"проезд Берёзовой Рощи, дом 12",(495) 950-22-86,55.791159241,37.520171744,зал тренажерный №1,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,11:00-13:00,11:00-13:00,train_gym
57,58,Московский центр боевых искусств,Южный административный округ,район Чертаново Северное,"Варшавское шоссе, дом 118, корпус 1",(495) 640-09-96,55.631678487,37.617880365,зал тренажерный,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,train_gym
58,59,Фитнес-клуб «Лагуна»,Северный административный округ,район Ховрино,"Фестивальная улица, дом 28, строение 1",(495) 234-47-47,55.860923,37.503361,зал тренажерный №1,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:30,07:00-23:00,07:00-23:00,train_gym
59,60,Фитнес-клуб «Ворлд класс Метрополис»,Северный административный округ,Войковский район,"Ленинградское шоссе, дом 16А, строение 7",(495) 788-00-00,55.82365893,37.495671317,зал тренажерный №1,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-00:00,09:00-00:00,train_gym
60,61,"Спортивный комплекс «Меридиан», к.2",Юго-Восточный административный округ,Нижегородский район,"Рязанский проспект, дом 7, корпус 2",(495) 681-01-48,55.731995047,37.736227758,зал тренажерный,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,train_gym
61,62,Спортивный комплекс «Дом физической культуры»,Центральный административный округ,Басманный район,"улица Фридриха Энгельса, дом 53",(499) 267-85-45,55.776854843,37.690048709,зал тренажерный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,train_gym
62,63,Фитнес-клуб «Вайлд»,Северный административный округ,район Ховрино,"Фестивальная улица, дом 53А",(495) 456-42-23,55.860758593,37.495217172,зал тренажерный №1,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,train_gym
63,64,Спортивный зал «Тонус-студия»,Северный административный округ,район Ховрино,"Зеленоградская улица, дом 15",(495) 255-20-55,55.869561,37.504672,зал тренажерный,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,09:00-19:00,09:00-19:00,train_gym
64,65,Фитнес-клуб «Красота Неземная»,Северный административный округ,район Аэропорт,"Кочновский проезд, дом 4, строение 1",(499) 505-59-59,55.806771377,37.542558351,зал тренажерный,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,train_gym
65,66,Досуговый центр «Региональная общественная организация «Спортивный клуб «МЕДВЕДЬ»,Северный административный округ,Бескудниковский район,"Бескудниковский бульвар, дом 55, корпус 1",(499) 488-11-10,55.872580165,37.540066625,зал тренажерный,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,train_gym
