,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
341,342,Фитнес-клуб «Гранд Фитнес»,Центральный административный округ,Тверской район,"Тверская улица, дом 26/1",(495) 973-00-48,55.768643913,37.599975428,бассейн плавательный крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
342,343,Фитнес-клуб «РеСтарт»,Центральный административный округ,Басманный район,"Нижняя Красносельская улица, дом 40/12, корпус 20",(495) 221-08-74,55.77372353,37.67115222,бассейн плавательный крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,pool_close
343,344,Фитнес-клуб «Идеал фитнесс» Сокольники,Восточный административный округ,район Сокольники,"Русаковская улица, дом 24",(495) 108-59-03,55.787166111,37.681452329,бассейн плавательный крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-23:00,09:00-23:00,pool_close
344,345,Фитнес-клуб «Идеал фитнесс» Динамо,Северный административный округ,район Аэропорт,"Ленинградский проспект, дом 36, строение 33",(495) 011-54-65,55.787466334,37.566426725,бассейн плавательный 25-ти метровый крытый,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,pool_close
345,346,Фитнес-клуб «Территория Фитнеса» Ховрино,Северный административный округ,район Ховрино,"Клинская улица, дом 6",(499) 283-48-90,55.866128477,37.50196242,бассейн плавательный крытый,06:00-23:55,06:00-23:55,06:00-23:55,06:00-23:55,06:00-23:55,09:00-23:00,09:00-23:00,pool_close
346,347,Фитнес-клуб «Территория Фитнеса» Ховрино,Северный административный округ,район Ховрино,"Клинская улица, дом 6",(499) 283-48-90,55.866068147,37.501994606,бассейн плавательный 25-метровый крытый,06:00-23:55,06:00-23:55,06:00-23:55,06:00-23:55,06:00-23:55,09:00-23:00,09:00-23:00,pool_close
347,348,Центр современного пятиборья «Северный»,Северо-Восточный административный округ,район Северный,"улица Арсюкова, дом 11",(495) 681-01-48,55.93656702,37.557650752,бассейн плавательный 50-ти метровый крытый,06:30-23:30,06:30-23:30,06:30-23:30,06:30-23:30,06:30-23:30,06:30-23:30,06:30-23:30,pool_close
348,349,Дворец водного спорта «Фили»,Западный административный округ,район Филёвский Парк,"Большая Филёвская улица, дом 18",(495) 120-51-20,55.74906356,37.4984731,бассейн плавательный площадью более 60 кв.м крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,08:00-23:00,pool_close
349,350,Фитнес-клуб «Крокус фитнесс» Ленинградский,Северный административный округ,район Аэропорт,"улица Черняховского, владение 19",(495) 236-11-22,55.809166,37.541126,бассейн плавательный 25-метровый крытый,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,круглосуточно,pool_close
350,351,Спортивный комплекс «Коломенский»,Южный административный округ,район Нагатино-Садовники,"Коломенский проезд, дом 15А",(495) 681-01-48,55.666052305,37.642191677,бассейн плавательный площадью 60 кв. м крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
351,352,Спортивный комплекс «Коломенский»,Южный административный округ,район Нагатино-Садовники,"Коломенский проезд, дом 15А",(495) 681-01-48,55.666311549,37.641993194,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
352,353,Спортивный комплекс образовательного учреждения,Восточный административный округ,район Восточный,"Главная улица, дом 13, строение 3",(499) 780-97-98,55.820113355,37.866368869,бассейн плавательный 25-метровый крытый,08:00-20:00,15:00-20:00,08:00-20:00,15:00-20:00,08:00-20:00,закрыто,закрыто,pool_close
353,354,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.713400876,37.55757713,бассейн плавательный 25-метровый крытый №2,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_close
354,355,Дворец водных видов спорта «Лужники»,Центральный административный округ,район Хамовники,"улица Лужники, дом 24, строение 4",(495) 637-03-60,55.713575398,37.557927218,бассейн плавательный 25-метровый крытый №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,pool_close
355,356,Спортивный комплекс Московского энергетического института,Юго-Восточный административный округ,район Лефортово,"2-й Краснокурсантский проезд, дом 12, строение 1",(495) 361-19-58,55.762277,37.703631,бассейн плавательный 25-метровый крытый,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,pool_close
356,357,Спортивный комплекс учреждения социальной защиты населения «ГБУ ТЦСО Марьино»,Юго-Восточный административный округ,район Марьино,"Люблинская улица, дом 159",(495) 345-84-01,55.653748021,37.743474093,бассейн плавательный площадью более 60 кв.м крытый,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-18:45,09:00-17:00,закрыто,pool_close
357,358,Фитнес-клуб «Х-Фит Южный Лёд»,Юго-Западный административный округ,район Южное Бутово,"улица Маршала Савицкого, дом 8",(499) 650-71-71,55.505982449,37.586521388,бассейн плавательный 25-метровый крытый,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:00,08:00-23:00,pool_close
