,Unnamed: 0,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type,Rating,NumReviews
2878,2878,Конноспортивная база «Сокорос»,Восточный административный округ,район Сокольники,"Поперечный просек, дом 11, строение 1",(499) 268-59-42,55.80300677,37.658130722,"зал спортивный, «для ОФП»",09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,sport_gym,-1.0,-1
2879,2879,Фитнес-клуб «Голд-Фитнес»,Восточный административный округ,район Соколиная Гора,"Семёновская площадь, дом 7",(499) 110-80-10,55.783463,37.720232,зал спортивный №2,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-22:00,09:00-22:00,sport_gym,4.6,192
2880,2880,Фитнес-клуб «Голд-Фитнес»,Восточный административный округ,район Соколиная Гора,"Семёновская площадь, дом 7",(499) 110-80-10,55.783463,37.720232,зал спортивный №1,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,07:00-00:00,09:00-22:00,09:00-22:00,sport_gym,-1.0,192
2881,2881,Московский Гольф Клуб в Крылатском,Западный административный округ,район Крылатское,"Островная улица, дом 2",(495) 234-74-51,55.761447248,37.458578424,"зал спортивный №3, «зал для игры в сквош»",09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,sport_gym,4.4,351
2882,2882,Велотрек «Крылатское»,Западный административный округ,район Крылатское,"Крылатская улица, дом 10",(499) 490-04-86,55.763362193999995,37.432713799,"зал спортивный №1, «зал для игры в сквош»",09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,sport_gym,4.7,1006
2883,2883,Физкультурно-оздоровительный комплекс МФСОЦ Люблино,Юго-Восточный административный округ,район Люблино,"Ставропольская улица, дом 13, строение 1",(495) 350-55-27,55.681173762,37.747734967,зал спортивный №2,06:15-22:00,06:15-22:00,06:15-22:00,06:15-22:00,06:15-22:00,06:15-22:00,08:30-13:45,sport_gym,4.2,330
2884,2884,Физкультурно-оздоровительный комплекс МФСОЦ Люблино,Юго-Восточный административный округ,район Люблино,"Ставропольская улица, дом 13, строение 1",(495) 350-55-27,55.681173762,37.747734967,зал спортивный №1,06:15-22:00,06:15-22:00,06:15-22:00,06:15-22:00,06:15-22:00,06:15-22:00,08:30-13:45,sport_gym,4.2,330
2885,2885,Досуговый центр «Олимп»,Северо-Восточный административный округ,район Южное Медведково,"Полярная улица, дом 10, строение 1",(916) 734-07-46,55.874521623,37.638258502,зал спортивный №1,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,08:00-20:00,09:00-18:00,sport_gym,4.7,23
2886,2886,Досуговый центр «Кожуховский самбист»,Юго-Восточный административный округ,Южнопортовый район,"Новоостаповская улица, дом 4, корпус 2",(903) 761-77-77,55.70646275399999,37.681619839,зал спортивный,11:00-22:00,12:05-22:00,11:00-22:00,12:05-22:00,11:00-22:00,11:00-22:00,11:00-22:00,sport_gym,-1.0,-1
2887,2887,Учреждение культурно-досугового типа «ДК «Нагорный»,Южный административный округ,Нагорный район,"Электролитный проезд, дом 3, корпус 1",(499) 317-65-45,55.673571171999995,37.620970179,Спортивный зал,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,закрыто,закрыто,sport_gym,4.3,151
