,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
1076,Фитнес-клуб «Палестра Спорт»,Северный административный округ,район Сокол,"2-я Песчаная улица, дом 4А, корпус 1",(499) 157-13-45,55.794244867,37.517013534,зал спортивный №1,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,sport_gym
1077,Фитнес-клуб «Палестра Спорт»,Северный административный округ,район Сокол,"2-я Песчаная улица, дом 4А, корпус 1",(499) 157-13-45,55.794209735,37.516769453,зал спортивный №2,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,sport_gym
1078,Спортивный комплекс «Восточный» (физкультурно-оздоровительный комплекс),Восточный административный округ,район Восточный,"Западная улица, дом 16Б, строение 5",(499) 780-90-65,55.815814356,37.879531113,зал спортивный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,sport_gym
1079,Досуговый центр «Южное Измайлово»,Восточный административный округ,район Ивановское,"шоссе Энтузиастов, дом 98, корпус 6",(499) 308-51-01,55.77163478,37.831883256,зал спортивный,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1080,Досуговый центр «Стимул»,Центральный административный округ,Таганский район,"Рабочая улица, дом 29В",(499) 678-74-34,55.743438146,37.686297539,зал спортивный,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,10:00-22:00,sport_gym
1081,Спортивный зал «Кентавр» филиал Свиблово,Северо-Восточный административный округ,район Свиблово,"Кольская улица, дом 11",(499) 186-81-83,55.861750576,37.644695504,зал спортивный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,10:00-17:00,закрыто,sport_gym
1082,Спортивный зал,Северный административный округ,Войковский район,"Выборгская улица, дом 14А, строение 1",(499) 237-15-71,55.833097,37.494487,зал спортивный,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,18:00-21:00,закрыто,закрыто,sport_gym
1083,Досуговый центр «Культурный центр «Интеграция»,Восточный административный округ,район Ивановское,"Саянская улица, дом 6Б",(495) 306-47-20,55.767110015,37.827774101,зал спортивный,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,sport_gym
1084,Физкультурно-оздоровительный комплекс «МБОУ ДОД ДЮСШ» городского округа Щербинка,Новомосковский административный округ,поселение Щербинка,"город Щербинка, Новостроевская улица, дом 1",(903) 105-04-54,55.505779405,37.559272724,зал спортивный №1,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,sport_gym
1085,Физкультурно-оздоровительный комплекс «МБОУ ДОД ДЮСШ» городского округа Щербинка,Новомосковский административный округ,поселение Щербинка,"город Щербинка, Новостроевская улица, дом 1",(903) 105-04-54,55.505462769,37.55932905,зал спортивный №3,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,sport_gym
1086,Спортивный комплекс образовательного учреждения,Троицкий административный округ,поселение Щаповское,"поселение Щаповское, посёлок Щапово, дом 20",(495) 865-67-23,55.417822483,37.408979653,зал спортивный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,закрыто,закрыто,sport_gym
1087,Городской спортивно-оздоровительный центр «Гармония»,Троицкий административный округ,поселение Троицк,"город Троицк, Сиреневый бульвар, дом 15",(495) 851-24-38,55.471293718,37.295660332,"зал спортивный, для настольных игр в шахматы",08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1088,Досуговый центр «Родина»,Северо-Западный административный округ,район Южное Тушино,"улица Свободы, дом 55",(495) 493-91-47,55.849953248,37.451943596,зал спортивный №3,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1089,Досуговый центр «Родина»,Северо-Западный административный округ,район Южное Тушино,"улица Свободы, дом 55",(495) 493-91-47,55.849953248,37.451943596,зал спортивный №4,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1090,Досуговый центр «Родина»,Северо-Западный административный округ,район Южное Тушино,"улица Свободы, дом 55",(495) 493-91-47,55.849953248,37.451943596,зал спортивный №2,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1091,Досуговый центр «Родина»,Северо-Западный административный округ,район Южное Тушино,"улица Свободы, дом 55",(495) 493-91-47,55.849953248,37.451943596,зал спортивный №1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym
1092,"Клуб «Юго-Восток», ул. Ташкентская",Юго-Восточный административный округ,район Выхино-Жулебино,"Ташкентская улица, дом 34, корпус 3",(495) 377-62-10,55.696156605,37.802164612,зал спортивный,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,закрыто,закрыто,sport_gym
1093,Государственное бюджетное учреждение города Москвы Центр культуры досуга и спорта «Истоки»,Юго-Восточный административный округ,район Выхино-Жулебино,"Саранская улица, дом 7",(495) 377-62-10,55.692954772,37.85610656,зал спортивный,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,закрыто,закрыто,sport_gym
1094,"Центр культуры, досуга и спорта «Истоки» Самаркандский",Юго-Восточный административный округ,район Выхино-Жулебино,"Самаркандский бульвар, дом 18/26",(495) 377-62-10,55.702680392,37.821701765,зал спортивный,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,17:00-21:00,закрыто,закрыто,sport_gym
1095,"Клуб «Юго-Восток», ул. Хлобыстова",Юго-Восточный административный округ,район Выхино-Жулебино,"улица Хлобыстова, дом 16, корпус 2",(495) 377-62-10,55.717393279,37.807929639,зал спортивный,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,закрыто,закрыто,sport_gym
1096,Спортивный комплекс среднего профессионального образовательного учреждения,Северный административный округ,Савёловский район,"Вятская улица, дом 78, строение 3",(499) 760-89-42,55.803853539,37.581547855,зал спортивный,08:00-21:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-21:00,закрыто,17:00-21:00,sport_gym
1097,Спортивный комплекс образовательного учреждения,Новомосковский административный округ,поселение Московский,"город Московский, 3-й микрорайон, дом 6А",(495) 410-38-95,55.594518012,37.346415762,зал спортивный №2,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,закрыто,закрыто,sport_gym
1098,Спортивный комплекс образовательного учреждения,Зеленоградский административный округ,район Крюково,"город Зеленоград, корпус 1556",(499) 717-27-47,55.98003444,37.15364346,зал спортивный №2,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-14:00,закрыто,sport_gym
